,R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FGM,FGA,FG%_z_score,FT%,FTM,FTA,FT%_z_score,3PM,3PM_z_score,PTS,PTS_z_score,TREB,TREB_z_score,AST,AST_z_score,STL,STL_z_score,BLK,BLK_z_score,TOTAL
188,"175
                               
                                6",140.5,Max Strus,SG/SF,CLE,72,29.4,0.414,4.2,10.0,-1.21,0.829,1.0,1.2,0.22,2.4,0.84,11.7,-0.21,3.9,-0.34,3.4,0.23,0.8,-0.24,0.3,-0.55,-1.27
189,"176
                               
                                3",140.7,Vince Williams Jr.,PG/SG,MEM,58,24.0,0.454,3.0,6.6,-0.22,0.803,1.7,2.1,0.15,1.3,-0.40,9.0,-0.62,4.8,0.00,2.8,-0.07,0.8,-0.19,0.6,-0.02,-1.37
190,"177
                               
                                1",114.3,Jaime Jaquez Jr.,SG/SF,MIA,73,28.0,0.489,4.6,9.3,0.32,0.812,1.9,2.3,0.28,0.9,-0.88,11.9,-0.19,3.8,-0.39,2.6,-0.17,1.0,0.35,0.3,-0.69,-1.37
191,"178
                               
                                3",137.5,Keldon Johnson,SF,SA,67,27.5,0.453,6.1,13.4,-0.58,0.798,2.8,3.6,0.22,1.8,0.12,16.7,0.53,4.7,-0.04,2.6,-0.20,0.7,-0.64,0.2,-0.82,-1.41
192,"179
                               
                                1",139.1,Lonzo Ball,PG,CHI,44,19.8,0.423,2.7,6.4,-0.61,0.761,0.4,0.5,-0.10,1.8,0.19,7.6,-0.83,3.2,-0.65,3.5,0.28,1.1,0.46,0.5,-0.16,-1.41
193,"180
                               
                                3",136.4,Zaccharie Risacher,SF/PF,ATL,68,30.4,0.452,5.1,11.2,-0.48,0.740,2.1,2.8,-0.59,1.4,-0.26,13.6,0.07,4.1,-0.29,1.5,-0.77,1.1,0.59,0.7,0.31,-1.42
195,"181
                               
                                10",140.2,Miles McBride,PG,NY,68,24.5,0.446,3.9,8.7,-0.46,0.845,1.0,1.2,0.28,2.1,0.44,10.8,-0.35,2.1,-1.09,2.6,-0.21,1.2,0.78,0.2,-0.82,-1.42
196,"182
                               
                                4",139.1,Andre Drummond,C,PHI,74,20.1,0.574,4.0,6.9,1.48,0.604,1.8,3.0,-2.51,0.0,-1.85,9.8,-0.50,10.6,2.30,0.6,-1.19,1.1,0.51,0.7,0.24,-1.52
197,"183
                               
                                6",140.7,Kevin Huerter,SG/SF,SAC,68,24.8,0.468,4.5,9.5,-0.07,0.750,0.9,1.2,-0.23,2.2,0.58,12.0,-0.18,3.2,-0.65,2.6,-0.19,0.8,-0.19,0.3,-0.60,-1.52
198,"184
                               
                                3",140.6,Cole Anthony,PG,ORL,72,21.9,0.444,4.0,9.0,-0.51,0.855,2.2,2.6,0.82,1.3,-0.39,11.5,-0.25,3.9,-0.34,3.1,0.07,0.7,-0.64,0.5,-0.29,-1.54
199,"185
                               
                                10",140.2,Jonathan Isaac,PF,ORL,55,17.2,0.496,2.8,5.7,0.31,0.704,1.1,1.5,-0.60,0.8,-0.96,7.5,-0.84,5.1,0.12,0.6,-1.21,1.0,0.13,1.2,1.46,-1.59
200,"186
                               
                                4",140.3,Christian Braun,SG,DEN,79,30.2,0.468,4.1,8.8,-0.06,0.731,1.6,2.2,-0.58,1.1,-0.63,11.0,-0.33,5.5,0.28,2.2,-0.41,0.9,0.11,0.6,0.02,-1.60
201,"187
                               
                                2",140.3,Luke Kennard,SG,MEM,60,25.4,0.472,3.7,7.7,0.02,0.914,0.9,0.9,0.52,2.7,1.12,10.8,-0.35,3.0,-0.71,2.5,-0.22,0.6,-0.86,0.1,-1.11,-1.60
202,"188
                               
                                1",139.0,Andrew Wiggins,SF/PF,GS,70,28.5,0.461,5.6,12.1,-0.31,0.711,1.7,2.4,-0.85,1.7,0.01,14.6,0.21,4.7,-0.04,1.9,-0.54,0.8,-0.24,0.6,0.13,-1.63
203,"189
                               
                                1",140.1,Jarred Vanderbilt,PF,LAL,65,24.1,0.542,3.0,5.6,0.84,0.688,1.2,1.7,-0.81,0.4,-1.44,7.6,-0.82,7.1,0.93,2.2,-0.40,1.2,0.75,0.3,-0.71,-1.66
204,"190
                               
                                10",,Gary Trent Jr.,SG,MIL,70,30.0,0.429,5.3,12.3,-1.10,0.792,1.6,2.1,0.05,2.4,0.79,14.5,0.20,2.5,-0.92,1.6,-0.72,1.2,0.83,0.2,-0.80,-1.66
205,"191
                               
                                3",119.4,Reed Sheppard,SG,HOU,67,20.2,0.472,2.2,4.8,0.04,0.835,0.9,1.0,0.20,1.3,-0.39,6.7,-0.97,2.5,-0.92,2.4,-0.26,1.3,1.07,0.4,-0.47,-1.68
206,"192
                               
                                1",140.4,Caleb Martin,SG/SF,PHI,68,30.0,0.447,3.9,8.8,-0.44,0.796,1.3,1.7,0.06,1.3,-0.39,10.5,-0.40,4.9,0.06,2.1,-0.46,0.9,0.08,0.5,-0.22,-1.71
207,"193
                               
                                1",129.4,Caris LeVert,SG/SF,CLE,69,27.5,0.426,4.4,10.3,-1.00,0.746,1.9,2.5,-0.47,1.6,-0.11,12.2,-0.14,3.7,-0.43,4.2,0.64,1.0,0.21,0.4,-0.44,-1.73
208,"194
                               
                                6",138.3,Bennedict Mathurin,SG/SF,IND,68,29.0,0.443,5.5,12.5,-0.78,0.826,4.4,5.3,1.04,1.4,-0.29,16.8,0.54,4.3,-0.20,1.8,-0.58,0.7,-0.67,0.2,-0.82,-1.76
209,195,140.6,Duncan Robinson,SF,MIA,67,26.4,0.447,4.4,9.8,-0.51,0.889,1.1,1.3,0.57,2.6,1.03,12.5,-0.10,2.5,-0.91,2.5,-0.25,0.6,-0.75,0.2,-0.91,-1.83
210,"196
                               
                                3",124.0,Malcolm Brogdon,PG/SG,WAS,43,26.7,0.466,4.3,9.2,-0.11,0.849,1.9,2.3,0.65,1.6,-0.06,12.1,-0.15,3.2,-0.63,3.5,0.27,0.5,-0.97,0.2,-0.84,-1.84
211,"197
                               
                                1",140.1,Nikola Jovic,PF,MIA,52,25.4,0.443,3.7,8.4,-0.48,0.766,1.2,1.6,-0.17,1.8,0.10,10.4,-0.42,5.3,0.22,2.4,-0.29,0.8,-0.38,0.4,-0.44,-1.87
212,"198
                               
                                1",140.3,Josh Richardson,SG/SF,MIA,60,25.2,0.436,3.8,8.7,-0.63,0.885,1.2,1.3,0.58,1.7,0.01,10.4,-0.41,2.9,-0.77,2.7,-0.13,0.9,0.00,0.3,-0.55,-1.90
213,"199
                               
                                1",140.2,Kris Dunn,PG,LAC,64,20.4,0.498,2.9,5.9,0.35,0.734,0.7,0.9,-0.26,0.6,-1.14,7.2,-0.89,3.2,-0.63,4.2,0.65,1.0,0.35,0.4,-0.36,-1.92
214,"200
                               
                                1",138.7,Ayo Dosunmu,SG,CHI,78,27.2,0.498,4.1,8.2,0.44,0.814,1.0,1.2,0.12,1.1,-0.59,10.2,-0.44,2.8,-0.81,2.8,-0.06,0.8,-0.19,0.4,-0.42,-1.95
